"","ageMonths",thetaEstimate,roarScore,standardScore,percentile
"10902","168",-1.4,407,68,2
"10903","168",-1.3,413,69,2
"10904","168",-1.2,420,70,2
"10905","168",-1.1,427,71,3
"10906","168",-1,433,72,3
"10907","168",-0.9,440,73,4
"10908","168",-0.8,447,74,4
"10909","168",-0.7,453,74,4
"10910","168",-0.6,460,75,5
"10911","168",-0.5,467,77,6
"10912","168",-0.4,473,78,6
"10913","168",-0.3,480,78,7
"10914","168",-0.2,487,79,8
"10915","168",-0.1,493,80,10
"10916","168",0,500,82,11
"10917","168",0.1,507,82,12
"10918","168",0.2,513,83,13
"10919","168",0.3,520,84,15
"10920","168",0.4,527,86,17
"10921","168",0.5,533,87,19
"10922","168",0.6,540,88,21
"10923","168",0.7,547,89,23
"10924","168",0.8,553,90,25
"10925","168",0.9,560,91,28
"10926","168",1,567,93,31
"10927","168",1.1,573,94,34
"10928","168",1.2,580,95,37
"10929","168",1.3,587,97,41
"10930","168",1.4,593,98,44
"10931","168",1.5,600,99,48
"10932","168",1.6,607,101,52
"10933","168",1.7,613,102,55
"10934","168",1.8,620,103,59
"10935","168",1.9,627,105,63
"10936","168",2,633,107,67
"10937","168",2.1,640,108,70
"10938","168",2.2,647,110,74
"10939","168",2.3,653,111,77
"10940","168",2.4,660,113,80
"10941","168",2.5,667,114,83
"10942","168",2.6,673,116,86
"10943","168",2.7,680,118,88
"10944","168",2.8,687,119,90
"10945","168",2.9,693,121,92
"10946","168",3,700,123,94
"10947","168",3.1,707,125,95
"10948","168",3.2,713,126,96
"10949","168",3.3,720,128,97
"10950","168",3.4,727,131,98
"10951","168",3.5,733,133,98
"10952","168",3.6,740,135,99
"10953","168",3.7,747,>135,>99
"10954","168",3.8,753,>135,>99
"10955","168",3.9,760,>135,>99
"10956","168",4,767,>135,>99
"10957","168",4.1,773,>135,>99
"10958","168",4.2,780,>135,>99
"10959","168",4.3,787,>135,>99
"10960","168",4.4,793,>135,>99
"10961","168",4.5,800,>135,>99
