target,distractor1,distractor2,distractor3,audioFile,audioUrl,composite.a,composite.b,composite.c,composite.d,letterNamePractice.a,letterNamePractice.b,letterNamePractice.c,letterNamePractice.d,letterNameLower.a,letterNameLower.b,letterNameLower.c,letterNameLower.d,letterNameUpper.a,letterNameUpper.b,letterNameUpper.c,letterNameUpper.d,letterPhonemePractice.a,letterPhonemePractice.b,letterPhonemePractice.c,letterPhonemePractice.d,letterPhoneme.a,letterPhoneme.b,letterPhoneme.c,letterPhoneme.d,corpusId
sce,sci,ge,go,scePhoneme,https://storage.googleapis.com/roar-ak/it/shared/scePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ca,ga,ch,sci,caPhoneme,https://storage.googleapis.com/roar-ak/it/shared/caPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
co,go,cu,gh,coPhoneme,https://storage.googleapis.com/roar-ak/it/shared/coPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
cu,gu,ci,gn,cuPhoneme,https://storage.googleapis.com/roar-ak/it/shared/cuPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
chi,ghi,sci,go,chiPhoneme,https://storage.googleapis.com/roar-ak/it/shared/chiPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
che,ghe,sce,gl,chePhoneme,https://storage.googleapis.com/roar-ak/it/shared/chePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ci,gi,ce,gu,ciPhoneme,https://storage.googleapis.com/roar-ak/it/shared/ciPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ce,ci,sce,qu,cePhoneme,https://storage.googleapis.com/roar-ak/it/shared/cePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ga,ca,ghe,co,gaPhoneme,https://storage.googleapis.com/roar-ak/it/shared/gaPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
go,co,gu,ci,goPhoneme,https://storage.googleapis.com/roar-ak/it/shared/goPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
gu,qu,ga,sce,guPhoneme,https://storage.googleapis.com/roar-ak/it/shared/guPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ghi,chi,gi,ca,ghiPhoneme,https://storage.googleapis.com/roar-ak/it/shared/ghiPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ghe,che,ge,cu,ghePhoneme,https://storage.googleapis.com/roar-ak/it/shared/ghePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
gi,ci,gl,sce,giPhoneme,https://storage.googleapis.com/roar-ak/it/shared/giPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ge,gi,ga,chi,gePhoneme,https://storage.googleapis.com/roar-ak/it/shared/gePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
qu,gu,gl,ce,quPhoneme,https://storage.googleapis.com/roar-ak/it/shared/quPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
