word,a,b,c,d,corpusId,realpseudo
difícil,1,-1.26614329549062,0.5,1,spanish-random,real
familia,1,-1.90418354365181,0.5,1,spanish-random,real
fiesta,1,-1.57517266281409,0.5,1,spanish-random,real
fútbol,1,-1.70204070070113,0.5,1,spanish-random,real
mado,1,-0.322038008028704,0.5,1,spanish-random,pseudo
sabroso,1,-0.319383048286392,0.5,1,spanish-random,real
viejo,1,-1.85830246820917,0.5,1,spanish-random,real
blanco,1,-1.79528253048322,0.5,1,spanish-random,real
estrella,1,-1.55226779769283,0.5,1,spanish-random,real
gaujar,1,0.162589038543533,0.5,1,spanish-random,pseudo
juco,1,-0.483816170235771,0.5,1,spanish-random,pseudo
lápiz,1,-1.84958631845165,0.5,1,spanish-random,real
agratécnico,1,1.49170068475305,0.5,1,spanish-random,pseudo
escuchar,1,-1.42601019732798,0.5,1,spanish-random,real
zanzínquero,1,-0.452058219889875,0.5,1,spanish-random,pseudo
catimbán,1,0.0107542858853649,0.5,1,spanish-random,pseudo
facitia,1,1.0124961279562,0.5,1,spanish-random,pseudo
frío,1,-1.8677365153239,0.5,1,spanish-random,real
jueco,1,0.110200519544967,0.5,1,spanish-random,pseudo
lilgiar,1,-0.191869310304969,0.5,1,spanish-random,pseudo
mebro,1,-0.3860857959354,0.5,1,spanish-random,pseudo
mocicía,1,-0.203730800048765,0.5,1,spanish-random,pseudo
oreza,1,-0.461941601371784,0.5,1,spanish-random,pseudo
reba,1,-0.575960602026645,0.5,1,spanish-random,pseudo
rápido,1,-1.88894522547668,0.5,1,spanish-random,real
sentarse,1,0.114722463872068,0.5,1,spanish-random,real
zapatos,1,-1.57975159355504,0.5,1,spanish-random,real
builar,1,-0.152881403577575,0.5,1,spanish-random,pseudo
ciguña,1,0.701675635102029,0.5,1,spanish-random,pseudo
jugar,1,-2.11506567752292,0.5,1,spanish-random,real
írbol,1,-0.836065363611993,0.5,1,spanish-random,pseudo
colinero,1,1.284558410043,0.5,1,spanish-random,pseudo
tecézono,1,-0.334509840910096,0.5,1,spanish-random,pseudo
teléfono,1,-2.0488669178156,0.5,1,spanish-random,real
escribir,1,-1.64041929005014,0.5,1,spanish-random,real
jusar,1,-0.203460756899998,0.5,1,spanish-random,pseudo
pluda,1,-0.559813501884983,0.5,1,spanish-random,pseudo
aburrimiento,1,-0.122094633769609,0.5,1,spanish-random,real
apierto,1,0.567215263972111,0.5,1,spanish-random,pseudo
hormana,1,0.591625968334507,0.5,1,spanish-random,pseudo
